dept,course,instructor,abbrev_instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,num_invited,num_responded
ARH,ARH312Y1,Anna Patton,Patton A,Winter,2017,3,3.5,4.1,3.3,3.3,2.9,3.9,3.3,26,8
ARH,ARH360H1,Michael Chazan,Chazan M,Winter,2017,4.5,4.5,4.5,4.2,4,4,4.7,3.5,20,6
ANT,ANT100Y1,Victor Barac,Barac V,Summer,2017,3.5,3.8,3,3.5,3.5,3,2.8,3.3,40,6
ANT,ANT253H1,Marcel Danesi,Danesi M,Summer,2017,4.2,4.4,4.7,4.3,4.3,4.4,4.8,2.7,143,33
ANT,ANT324H1,Shiho Satsuka,Satsuka S,Summer,2017,4.5,4.8,4.3,4.3,4.2,4.4,4.3,3,37,13
ANT,ANT349H1,Laura Visan,Visan L,Summer,2018,4.4,4.8,4.7,4.3,4.4,4.4,4.3,3,34,12
ARH,ARH306Y1,Paul Duffy,Duffy P,Summer,2018,4.6,4.8,4.6,3.8,4,4.2,4.6,3.2,14,5
ARH,ARH306Y1,Sarah Stewart,Stewart S,Summer,2018,4.6,4.8,4.4,3.8,4,4.2,4.2,3.2,14,5
ANT,ANT207H1,Dylan Clark,Clark D,Summer,2018,4.8,4.8,4.9,4.5,4.7,4.7,4.9,3.7,49,17
ANT,ANT100Y1,Dylan Clark,Clark D,Summer,2018,3.5,3.5,3.1,3,2.8,2.6,3.4,3.9,61,8
ANT,ANT253H1,Marcel Danesi,Danesi M,Summer,2018,4.2,4.1,4.5,3.9,4,4.1,4.5,2.6,162,31
ANT,ANT204H1,Dylan Clark,Clark D,Summer,2018,4.3,4.3,4.5,3.6,3.8,4.1,4.9,3.3,54,14
ANT,ANT100Y1,Shawn Lehman,Lehman S,Summer,2018,4.1,4.3,4.2,4,3.9,3.6,4.2,3.6,67,10
ANT,ANT324H1,Shiho Satsuka,Satsuka S,Summer,2018,4.2,4.5,4.3,4.3,4.3,4.3,4.4,3.1,42,16
ANT,ANT204H1,Dylan Clark,Clark D,Summer,2017,4.7,4.6,4.8,4.3,4.3,4.6,4.8,3.6,47,12
ANT,ANT346H1,Dylan Clark,Clark D,Summer,2017,3.8,4,4.3,3.4,3.8,3.7,4.3,3.4,58,17
ARH,ARH306Y1,Paul Duffy,Duffy P,Summer,2017,4.7,4.8,5,4.5,4.5,4.5,4.7,3.3,11,6
ARH,ARH306Y1,Sarah Stewart,Stewart S,Summer,2017,4.7,4.8,4.8,4.5,4.5,4.5,4.8,3.3,11,6
ANT,ANT437H1,T. Viola,Viola T,Summer,2017,4.9,5,4.9,4.9,4.8,4.8,4.8,3.1,9,9
ANT,ANT343H1,Kevin Nixon,Nixon K,Summer,2017,4.3,4,3.5,3.5,3.7,3.3,4.7,4.3,23,6
ANT,ANT396Y0,Anne Urbancic,Urbancic A,Summer,2017,5,5,4.9,5,5,4.9,5,2.7,28,7
JAH,JAH391Y0,Ivan Kalmar,Kalmar I,Summer,2017,3.6,3.5,3.4,3.5,3.7,3.1,4,3.1,25,11
