course,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded,instructor
ANT200Y1,Fall,2017,3.8,4.1,3.8,3.6,3.8,3.5,3.9,3.1,3.6,132,41,"Chazan, M."
ARH305H1,Fall,2017,3.8,4,4.5,4.2,4,4,4.2,2.8,3.8,22,6,"Coupland, G."
ANT253H1,Fall,2017,3.9,4,4.2,3.9,3.9,3.9,4.4,2.6,4.1,426,129,"Danesi, M."
ANT438H1,Fall,2017,4.7,4.7,4.9,4.5,4.7,4.6,4.9,3.1,4.8,17,15,"Eastham, L."
ARH309H1,Fall,2017,4.7,4.7,4.8,4.3,4.3,4.5,4.8,2.7,4.5,29,8,"Jennings, J."
ANT207H1,Fall,2017,3.8,4,4,3.7,3.8,3.5,4.1,3.4,3.4,146,75,"Li, T."
ANT329H1,Fall,2017,4.6,4.4,4.4,4.1,4.2,4.1,4.4,2.9,4.3,49,16,"Luong, H."
ANT335Y1,Fall,2017,4.4,4.4,4.7,4.1,4,4.2,4.6,3.2,4.2,35,32,"Nargolwalla, M."
ANT317H1,Fall,2017,4.2,4.2,5,4,3.7,4,5,3,4.2,19,6,"Patton, A."
ANT480H1,Fall,2017,4.4,4.4,4.1,4.2,4.4,4,4.2,3.3,3.9,14,9,"Sammons, E."
ANT378H1,Fall,2017,3.4,3.5,3.1,3.1,3.4,3,3.6,2.9,2.9,29,8,"Song, J."
ANT318H1,Fall,2017,3.6,3.6,3.6,3.6,3.4,3.2,3.3,3.8,3.2,28,9,"Swenson, E."
ANT204H1,Winter,2016,2.7,2.8,2.1,2.8,2.9,2.4,2.5,2.3,2.4,292,94,"Song, J."
ANT457H1,Winter,2016,4.6,4.6,4.9,4.8,4.8,4.8,5,3.2,4.6,18,11,"Forni, S."
ANT356H1,Winter,2016,3.8,3.4,2.9,3,3.4,3,3.3,3.4,2.9,52,16,"Gillison, G."
ANT322H1,Winter,2016,3.9,4,4.4,3.5,3.5,3.9,4.6,2.5,4.4,206,60,"Danesi, M."
ANT366H1,Winter,2016,3.8,3.8,3.8,3.9,4,3.5,4.3,3.1,3.7,62,32,"Solana, V."
ARH309H1,Winter,2016,4.6,4.7,4.7,4.2,4.1,4.6,4.6,3,4.4,52,24,"Jennings, J."
ANT319Y1,Winter,2016,4.9,4.9,4.9,4.7,4.7,4.8,4.9,3.2,4.9,24,13,"Patton, A."
ARH312Y1,Winter,2016,3.4,3.5,4.3,3.5,3.5,3.2,4.1,3.2,3.3,23,13,"Patton, A."
ANT411H1,Winter,2016,4.1,4.3,4.2,4.1,4.1,3.9,4,3.8,3.3,18,15,"Hubert, E."
ANT100Y1,Summer,2016,4.1,4.2,4.2,3.6,3.7,3.8,4.2,3.5,3.9,57,17,"Clark, D."
ANT200Y1,Summer,2016,4.9,4.8,4.8,4.7,4.8,4.6,4.7,3.3,4.8,24,11,"Gregg, M."
ANT207H1,Summer,2016,4.1,4.3,4.6,4.1,4,4.2,4.4,3.3,4.1,52,16,"Taylor, J."
ANT253H1,Summer,2016,4.2,4.2,4.4,4.3,4.4,4.2,4.7,2.6,4.7,109,36,"Danesi, M."
ANT343H1,Summer,2016,3.9,4.1,4.1,4,3.9,3.8,4.2,3.7,3.9,25,9,"Nixon, K."
ANT348H1,Summer,2016,4.3,4.3,4.4,4.4,4.4,4.2,4.5,3.5,4.2,14,11,"Maxwell, K."
ANT200Y1,Fall,2016,4.1,4.1,4.1,4.1,4.1,3.8,4.1,3.2,3.9,132,42,"Chazan, M."
ANT203Y1,Fall,2016,4,4.1,4.2,3.8,3.8,3.9,4.1,3,3.9,150,50,"Gamble, J."
ANT207H1,Fall,2016,3.8,3.9,4,3.8,3.8,3.6,4,3.3,3.4,168,50,"Li, T."
ANT208H1,Fall,2016,3.6,3.8,3.5,3.3,3.3,3.3,3.8,3,3.6,330,114,"Gamble, J."
ANT316H1,Fall,2016,4.1,4.5,4.4,4.7,4.7,3.9,4.7,3.3,4.2,23,15,"Swenson, E."
ANT317H1,Fall,2016,4.2,4.4,5,4.7,4.7,4,4.3,3.2,4.3,17,6,"Patton, A."
ANT322H1,Fall,2016,3.7,3.7,4,3.4,3.3,3.9,4.4,2.3,4.1,100,24,"Danesi, M."
ANT329H1,Fall,2016,4.4,4.4,4.3,4.2,4.1,4,4.6,2.7,4.1,42,14,"Luong, H."
ANT334H1,Fall,2016,4.1,4.1,3.7,3.5,3.6,3.1,4,4.6,2.9,25,18,"Beresheim, A."
ANT335Y1,Fall,2016,4.3,4.1,3.6,3.4,3,3.4,3.9,3.5,3.1,18,8,"Begun, D."
ANT338H1,Fall,2016,3.8,3.6,3.8,3.1,3.3,2.8,4.4,3.5,3.1,30,21,"Viola, T."
ANT343H1,Fall,2016,4.8,4.7,4.7,4.2,4.2,4.3,4.7,4.1,4.3,55,27,"Dave, P."
ANT370H1,Fall,2016,4.4,4.4,4.6,4.1,4.3,4.2,4.7,3.5,4.2,40,21,"Bright, K."
ANT374H1,Fall,2016,4.5,4.6,4.6,4.3,4.1,4.4,4.4,3.5,4.2,41,19,"Li, T."
ANT378H1,Fall,2016,3.6,3.9,3.9,4.1,4,3.7,3.8,2.9,3.9,24,8,"Song, J."
ANT384H1,Fall,2016,4.5,4.8,4.1,4.1,4,4.2,4.3,3.9,4,15,10,"Maxwell, K."
ANT416H1,Fall,2016,4.3,4.7,4.7,4.5,4.5,4.4,4.7,3.8,4,23,12,"Swenson, E."
ANT441H1,Fall,2016,4.9,4.9,4.6,4.9,4.8,4.8,5,3.6,4.6,22,13,"Bright, K."
ANT452H1,Fall,2016,4.6,5,4.2,4.6,4.8,4.3,4.2,3.4,4.6,15,5,"Levin, M."
ANT458H1,Fall,2016,5,5,4.6,4.8,5,4.8,4.8,4,5,6,5,"Maxwell, K."
ANT476H1,Fall,2016,5,4.8,4.8,4.3,4,4.7,4.5,3.8,4.5,13,6,"Boddy, J."
ANT481H1,Fall,2016,3.8,4.4,4.5,4.2,4.3,3.7,4.3,3.8,3.7,16,12,"Gamble, J."
ANT484H1,Fall,2016,4.3,4.3,4.4,3.7,3.7,3.5,4.3,3.9,3.7,14,7,"Majumder, A."
ARH305H1,Fall,2016,4.3,4.5,4.5,4.3,4.1,4.1,4.3,3.4,3.9,31,9,"Coupland, G."
ARH309H1,Fall,2016,4.5,4.6,4.6,4.2,4.3,4.1,4.5,2.7,4.1,29,11,"Jennings, J."
ANT100Y1,Winter,2017,3.5,4.1,3.6,3.1,3.1,3.5,3.8,2.2,3.3,49,10,"Friesen, T."
ANT100Y1,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,3.3,49,10,"Kalmar, I."
ANT100Y1,Winter,2017,3.5,4.1,3.8,3.1,3.1,3.5,4,2.2,3.3,49,10,"Lehman, S."
ANT100Y1,Winter,2017,3.67,3.91,3.53,3.51,3.64,3.44,3.37,2.89,3.58,806,309,"Friesen, T."
