course,instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded
ANT200Y1,Michael Chazan,Fall,2017,3.8,4.1,3.8,3.6,3.8,3.5,3.9,3.1,3.6,132,41
ARH305H1,Gary Coupland,Fall,2017,3.8,4,4.5,4.2,4,4,4.2,2.8,3.8,22,6
ANT253H1,Marcel Danesi,Fall,2017,3.9,4,4.2,3.9,3.9,3.9,4.4,2.6,4.1,426,129
ANT438H1,Laura Eastham,Fall,2017,4.7,4.7,4.9,4.5,4.7,4.6,4.9,3.1,4.8,17,15
ARH309H1,Justin Jennings,Fall,2017,4.7,4.7,4.8,4.3,4.3,4.5,4.8,2.7,4.5,29,8
ANT207H1,Tania Li,Fall,2017,3.8,4,4,3.7,3.8,3.5,4.1,3.4,3.4,146,75
ANT329H1,Hy Luong,Fall,2017,4.6,4.4,4.4,4.1,4.2,4.1,4.4,2.9,4.3,49,16
ANT335Y1,Mariam Nargolwalla,Fall,2017,4.4,4.4,4.7,4.1,4,4.2,4.6,3.2,4.2,35,32
ANT317H1,Anna Patton,Fall,2017,4.2,4.2,5,4,3.7,4,5,3,4.2,19,6
ANT480H1,Edward Sammons,Fall,2017,4.4,4.4,4.1,4.2,4.4,4,4.2,3.3,3.9,14,9
ANT378H1,Jesook Song,Fall,2017,3.4,3.5,3.1,3.1,3.4,3,3.6,2.9,2.9,29,8
ANT318H1,Edward Swenson,Fall,2017,3.6,3.6,3.6,3.6,3.4,3.2,3.3,3.8,3.2,28,9
ANT204H1,Jesook Song,Winter,2016,2.7,2.8,2.1,2.8,2.9,2.4,2.5,2.3,2.4,292,94
ANT457H1,Silvia Forni,Winter,2016,4.6,4.6,4.9,4.8,4.8,4.8,5,3.2,4.6,18,11
ANT356H1,Gillian Gillison,Winter,2016,3.8,3.4,2.9,3,3.4,3,3.3,3.4,2.9,52,16
ANT322H1,Marcel Danesi,Winter,2016,3.9,4,4.4,3.5,3.5,3.9,4.6,2.5,4.4,206,60
ANT366H1,Vivian Solana,Winter,2016,3.8,3.8,3.8,3.9,4,3.5,4.3,3.1,3.7,62,32
ARH309H1,Justin Jennings,Winter,2016,4.6,4.7,4.7,4.2,4.1,4.6,4.6,3,4.4,52,24
ANT319Y1,Anna Patton,Winter,2016,4.9,4.9,4.9,4.7,4.7,4.8,4.9,3.2,4.9,24,13
ARH312Y1,Anna Patton,Winter,2016,3.4,3.5,4.3,3.5,3.5,3.2,4.1,3.2,3.3,23,13
ANT411H1,Erell Hubert,Winter,2016,4.1,4.3,4.2,4.1,4.1,3.9,4,3.8,3.3,18,15
ANT100Y1,Dylan Clark,Summer,2016,4.1,4.2,4.2,3.6,3.7,3.8,4.2,3.5,3.9,57,17
ANT200Y1,Michael Gregg,Summer,2016,4.9,4.8,4.8,4.7,4.8,4.6,4.7,3.3,4.8,24,11
ANT207H1,Jessica Taylor,Summer,2016,4.1,4.3,4.6,4.1,4,4.2,4.4,3.3,4.1,52,16
ANT253H1,Marcel Danesi,Summer,2016,4.2,4.2,4.4,4.3,4.4,4.2,4.7,2.6,4.7,109,36
ANT343H1,Kevin Nixon,Summer,2016,3.9,4.1,4.1,4,3.9,3.8,4.2,3.7,3.9,25,9
ANT348H1,Krista Maxwell,Summer,2016,4.3,4.3,4.4,4.4,4.4,4.2,4.5,3.5,4.2,14,11
ANT200Y1,Michael Chazan,Fall,2016,4.1,4.1,4.1,4.1,4.1,3.8,4.1,3.2,3.9,132,42
ANT203Y1,Julia Gamble,Fall,2016,4,4.1,4.2,3.8,3.8,3.9,4.1,3,3.9,150,50
ANT207H1,Tania Li,Fall,2016,3.8,3.9,4,3.8,3.8,3.6,4,3.3,3.4,168,50
ANT208H1,Julia Gamble,Fall,2016,3.6,3.8,3.5,3.3,3.3,3.3,3.8,3,3.6,330,114
ANT316H1,Edward Swenson,Fall,2016,4.1,4.5,4.4,4.7,4.7,3.9,4.7,3.3,4.2,23,15
ANT317H1,Anna Patton,Fall,2016,4.2,4.4,5,4.7,4.7,4,4.3,3.2,4.3,17,6
ANT322H1,Marcel Danesi,Fall,2016,3.7,3.7,4,3.4,3.3,3.9,4.4,2.3,4.1,100,24
ANT329H1,Hy Luong,Fall,2016,4.4,4.4,4.3,4.2,4.1,4,4.6,2.7,4.1,42,14
ANT334H1,Amy Beresheim,Fall,2016,4.1,4.1,3.7,3.5,3.6,3.1,4,4.6,2.9,25,18
ANT335Y1,David Begun,Fall,2016,4.3,4.1,3.6,3.4,3,3.4,3.9,3.5,3.1,18,8
ANT338H1,T. Viola,Fall,2016,3.8,3.6,3.8,3.1,3.3,2.8,4.4,3.5,3.1,30,21
ANT343H1,Prakruti Dave,Fall,2016,4.8,4.7,4.7,4.2,4.2,4.3,4.7,4.1,4.3,55,27
