course,instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,num_invited,num_responded
CLA201H1,David Wallace-Hare,Summer,2014,3.5,4.3,3.8,3.5,3.8,3.6,3.9,3.3,3.8,66,19
CLA305H1,Adriana Carter,Summer,2014,4.1,4.4,4.6,3.9,4.3,3.9,4.7,3.7,4,15,7
CLA371H1,Alex Cushing,Summer,2015,3.5,3.7,3.3,3.3,3.3,3,4,4,3.3,14,6
CLA160H1,Janet Mowat,Fall,2014,4.2,4.5,4.7,4.1,4.3,4.3,4.7,3.1,4.4,157,86
CLA204H1,John MacCormick,Fall,2014,4.2,4.4,4.5,3.9,4,4,4.6,3.4,4.2,195,111
CLA204H1,Emilia Barbiero,Fall,2014,3.9,4.5,4,3.5,3.9,3.6,4.5,3.6,3.8,24,13
CLA204H1,Emilia Barbiero,Fall,2014,4.2,4.4,4.1,3.6,3.8,3.7,4.4,3.8,3.8,181,92
CLA230H1,Gillian Ramsey,Fall,2014,3.2,3.6,2.7,2.7,2.8,2.6,2.8,3.6,2.5,112,53
CLA233H1,Erik Gunderson,Fall,2014,2.9,3.1,2.5,2.5,3,2.6,2.8,3.3,2.1,64,31
CLA303H1,Hugh Mason,Fall,2014,4.5,4.7,4.5,4.4,4.5,4.5,4.6,3.5,4.5,32,16
CLA319H1,Victoria Wohl,Fall,2014,4.3,4.3,4.6,4.5,4.6,4.3,4.9,3.7,4.4,35,19
CLA321H1,Jennifer Oliver,Fall,2014,3.6,3.9,3.9,3.9,4,3.4,3.5,3,3.7,39,23
CLA367H1,Seth Bernard,Fall,2014,4.5,4.3,4.4,4.3,4.4,4.4,4.7,3.4,4.6,36,18
CLA373H1,Seth Bernard,Fall,2014,4,4.5,4.6,3.9,4.3,4.3,4.7,3.2,4.5,31,11
CLA383H1,Matthew Cohn,Fall,2014,4.2,4.5,4.4,4.2,4.2,4,4.2,3.4,4.4,31,18
CLA386H1,Robert McCutcheon,Fall,2014,4.1,4.3,4.8,4.6,4.6,4.6,4.3,3.3,4.4,15,9
CLA403H1,Kevin Wilkinson,Fall,2014,3.8,4.4,4.1,4.3,3.9,3.6,3.8,4,3.4,18,8
GRK101H1,Emilia Barbiero,Fall,2014,4.6,4.9,4.6,4.6,4.6,4.4,4.7,4.1,3.9,20,13
GRK101H1,Thomas Lytle,Fall,2014,4,4.1,4.1,3.7,3.8,3.7,4.1,3,3.4,24,10
GRK201H1,Jonathan Burgess,Fall,2014,4.3,4.3,3.7,3.7,4.1,3.7,3.7,3.4,3.3,12,7
GRK340H1,Brad Inwood,Fall,2014,4.6,4.4,4.6,4,4.6,4.2,4.6,4.2,3.4,11,5
LAT101H1,Jonathan Tracy,Fall,2014,4.6,4.7,4.9,4.4,4.4,4,4.4,4,3.9,23,9
LAT101H1,Peter O'Hagan,Fall,2014,4.5,4.9,4.4,4.6,4.4,4.5,4.4,4,3.8,11,8
LAT101H1,Michael Dewar,Fall,2014,4.6,4.5,4.5,4.3,4.7,4,4.9,4,4.2,22,12
LAT101H1,Patrick Hadley,Fall,2014,3.8,4.3,3.9,4.1,4.2,3.6,4.4,4.2,3.3,23,13
LAT101H1,Nicole Daniel,Fall,2014,4.3,4.7,4.3,4.5,4.2,3.7,4.3,4,3.7,19,6
LAT101H1,Ellen Ekman,Fall,2014,4.3,4.3,4.4,4.1,4.5,3.6,4.4,3.8,3.3,17,11
LAT201H1,Robert McCutcheon,Fall,2014,4.3,4.3,4.4,4.4,4.5,3.9,4.2,4,3.9,21,13
LAT201H1,Patrick Hadley,Fall,2014,4.3,4.2,4.9,3.9,4,3.8,4.9,4.4,4.3,17,10
LAT342H1,Kevin Wilkinson,Fall,2014,4,4.3,4.5,4.1,3.9,3.9,4.1,3.8,3.4,15,8
LAT352H1,Jarrett Welsh,Fall,2014,5,5,5,5,4.8,4.8,5,4.5,4.5,8,5
GRK101H1,Matthew Watton,Fall,2018,4.6,4.6,4.9,4.6,4.3,4.6,4.9,3.1,3.9,14,10
CLA322H1,Victoria Wohl,Fall,2018,4.8,4.7,5,4.7,4.9,4.9,4.9,3.4,4.7,29,15
CLA336H1,Ernest Weinrib,Fall,2018,3.8,3.9,3.8,3.4,3.3,3.4,4.3,2.8,3.4,22,8
LAT101H1,Jarrett Welsh,Fall,2018,4.5,4.6,4.5,4,4.4,4.1,4.7,3.7,3.9,26,10
LAT201H1,Jennifer Oliver,Fall,2018,4.6,4.7,4.5,4.8,4.7,4.5,4.6,4,4.8,29,12
CLA204H1,Jennifer Oliver,Fall,2018,3.5,4.1,4.1,3.4,3.6,3.8,4.6,2.3,3.6,29,8
CLA204H1,Jennifer Oliver,Fall,2018,4.3,4.5,4.2,3.8,4,4,4.4,2.9,4.1,201,53
LAT101H1,Naomi Neufeld,Fall,2018,4.2,4.7,4,4,4.7,3.7,4.2,3.8,3.7,9,6
CLA382H1,Edward Parker,Fall,2018,4.5,4.7,4.7,4.6,4.6,4.8,4.6,3.3,4.6,26,12
CLA204H1,Lorenza Bennardo,Winter,2019,2.38,3.4,2.5,2.9,3.6,2.6,2.9,2,3.1,36,9
CLA204H1,Lorenza Bennardo,Winter,2019,3.23,3.7,3,3.3,3.6,3.1,3.2,3,3.3,173,59
CLA387H1,Lorenza Bennardo,Winter,2019,4.44,4.6,4.4,4.6,4.2,4.2,4.2,3.1,4.3,25,9
CLA236H1,Peter Bing,Winter,2019,3.92,4.1,3.8,3.9,4.1,3.8,4,3,3.7,63,25
CLA386H1,Jonathan Burgess,Winter,2019,4,4.1,4,3.9,4.4,3.7,4,4.1,3.3,14,7
LAT202H1,Michael Dewar,Winter,2019,4.89,5,4.7,4.7,5,4.6,4.8,3.7,4.7,16,9
CLA233H1,Michael Dewar,Winter,2019,4.43,4.5,4.2,4.4,4.5,4.3,4.4,2.9,4.4,83,28
CLA203H1,Marion Durand,Winter,2019,4.33,4.6,4.4,4.3,4.2,4.2,4.4,3.1,4.1,108,45
LAT102H1,Jeffrey Easton,Winter,2019,4.86,4.7,4.9,4.4,4.6,4.9,4.9,3.7,4.7,9,7
CLA319H1,Chiara Graf,Winter,2019,4.93,5,5,4.7,4.9,5,4.8,3.1,4.8,21,14
CLA310H1,David Wallace-Hare,Winter,2019,3.56,3.6,3.8,3.2,3.2,3.1,4.2,3.8,2.9,19,9
CLA204H1,Jesse Hill,Winter,2019,4.34,4.5,4.6,4,4.1,4.2,4.6,2.9,4.3,238,69
CLA230H1,Thomas Lytle,Winter,2019,4.18,4.3,4,3.9,3.9,3.7,4.2,3.1,4,75,22
CLA388H1,Jennifer Oliver,Winter,2019,4.38,4.5,4.5,4.4,4.5,4.2,4.4,3.5,4.2,27,15
CLA201H1,John Traill,Winter,2019,3.95,4.4,4.1,4,4.1,3.9,4.5,3.1,3.9,152,43
LAT430H1,Jarrett Welsh,Winter,2019,4.33,4.7,4.7,4.2,4.3,4.7,4.3,3.8,3.7,11,6
GRK202H1,Kevin Wilkinson,Winter,2019,3.38,3.6,3.1,3.3,3.4,3.1,2.9,4.1,2.4,16,8
CLA378H1,Kevin Wilkinson,Winter,2019,4.67,4.9,4.8,4.5,4.2,4.3,4.4,3.2,4.6,25,10
CLA402H1,Victoria Wohl,Winter,2019,4.89,4.9,5,4.8,4.8,5,4.9,3.2,5,18,10
CLA160H1,Victoria Wohl,Winter,2019,4.26,4.3,4.7,4,4.2,4.1,4.7,3.3,4.1,103,38
LAT102H1,Kenneth Yu,Winter,2019,5,5,5,5,5,5,4.8,3.2,4.8,5,5
CLA373H1,Seth Bernard,Fall,2018,4.3,4.4,4.6,3.9,4.3,4,4.6,4,3.7,19,10
CLA160H1,Seth Bernard,Fall,2018,4.6,4.8,4.8,4.3,4.6,4.4,4.9,3.3,4.6,97,44
LAT101H1,Riccardo Bertolazzi,Fall,2018,4.6,5,5,4.9,4.9,4.9,5,3.6,4.3,8,7
GRK201H1,Peter Bing,Fall,2018,4.5,5,4.2,4.7,4.5,4,4.8,4.3,3.7,14,6
GRK101H1,Rachel Mazzara,Summer,2019,4.3,4.3,4.0,4.0,3.8,3.7,4.2,4.2,3.7,9,6
LAT101H1,Anthony Antunes,Summer,2019,4.0,4.5,4.2,4.2,4.2,4.0,4.7,4.0,4.2,20,6
CLA204H1,Adam Barker,Summer,2019,4.8,4.8,4.8,4.4,4.5,4.7,4.9,3.2,4.7,111,32
CLA367H1,Riccardo Bertolazzi,Summer,2019,4.3,4.3,4.6,4.4,4.6,4.2,4.6,2.9,4.5,22,15
CLA231H1,John Fabiano,Summer,2019,4.4,4.6,4.3,3.9,3.9,4.0,4.4,3.4,4.0,31,20
CLA160H1,Matthew Watton,Summer,2019,4.0,3.8,4.3,4.1,4.1,3.6,4.3,3.0,4.0,25,9
CLA236H1,Edward Parker,Summer,2019,4.6,5.0,5.0,4.7,5.0,4.9,5.0,3.0,4.8,45,13
CLA382H1,Chiara Graf,Summer,2019,4.8,4.7,4.7,4.7,4.8,4.7,5.0,3.2,4.7,21,12
CLA201H1,David Wallace-Hare,Summer,2019,3.7,4.3,4.3,4.2,4.0,3.7,4.5,3.5,3.5,75,25
CLA260H1,Sarah Murray,Fall,2018,3.9,4.1,4.4,4,4,4,4.4,3.3,3.9,54,23
CLA204H1,Rachel Mazzara,Fall,2018,3.9,4.3,4.4,3.8,3.9,4,4.3,2.7,4.2,162,131
LAT101H1,Joseph Gerbasi,Fall,2018,3.8,4.2,4,3.8,3.7,3.5,4,3.2,2.8,15,7
CLA368H1,Drew Davis,Fall,2018,4.7,5,5,4.6,4.7,4.9,5,3.2,4.8,24,11
CLA231H1,Jeffrey Easton,Fall,2018,4.3,4.6,4.4,3.8,3.7,4.1,4.8,2.8,4,42,14
CLA232H1,Marion Durand,Fall,2018,4.5,4.6,4.9,4.7,4.7,4.8,4.9,2.9,4.7,51,33
LAT101H1,Ellen Ekman,Fall,2018,4.8,4.8,4.7,4.7,4.8,4.6,4.9,3.7,4.1,18,13
MGT201H1,Ralph Tassone,Winter,2018,3.8,4.2,4.2,3.9,4,3.9,4.2,2.9,3.7,106,71
RSM100H1,Michael Khan,Winter,2018,4,4.2,4.3,4.1,4.1,4.1,4.5,3.1,3.8,72,40
RSM219H1,Nayana Reiter,Winter,2018,4.4,4.7,4.7,4.5,4.5,4.5,4.7,3.2,4.6,53,24
RSM219H1,Nayana Reiter,Winter,2018,4.1,4.6,4.5,4.3,4.3,4.3,4.5,3,4.1,55,36
RSM219H1,Nayana Reiter,Winter,2018,4.4,4.6,4.7,4.4,4.6,4.5,4.7,3,4.5,53,25
RSM221H1,Catherine Barrette,Winter,2018,4,4.2,4.5,3.8,3.7,3.9,4.6,3.4,3.7,43,27
RSM221H1,Catherine Barrette,Winter,2018,4.1,4.6,4.8,4.4,4.2,4.3,4.8,3.6,4,37,24
RSM221H1,Catherine Barrette,Winter,2018,4.1,4.5,4.9,4.2,4.3,4.5,4.8,3.5,4,32,15
RSM221H1,Catherine Barrette,Winter,2018,4.2,4.3,4.6,3.8,4,4.3,4.8,3.4,3.5,36,14
RSM222H1,Elisa Zuliani,Winter,2018,3.6,3.9,4.3,4.2,4.2,3.8,4.4,3.1,3.4,56,10
RSM222H1,Catherine Barrette,Winter,2018,3.8,4.2,4.4,4.2,4,4.1,4.5,3.2,4,50,26
RSM222H1,Elisa Zuliani,Winter,2018,3.4,3.7,4,3.6,3.6,3.6,4.1,3.2,3.4,55,11
RSM225H1,Jeff Rybak,Winter,2018,3.7,3.7,3.9,3.6,3.7,3.6,3.7,3.1,3.3,54,17
RSM225H1,Leah Noble,Winter,2018,4.2,4.6,4.2,4.4,4.4,4.1,4.2,3,4.4,48,19
RSM225H1,Daniel Shear,Winter,2018,4.2,4.3,4.1,3.7,3.8,3.8,3.9,3.1,3.6,53,18
RSM225H1,Rajvinder Sahni,Winter,2018,4.7,4.6,4.8,4.6,4.5,4.6,4.8,3.2,4.6,42,15
RSM230H1,Dana Boyko,Winter,2018,3.5,3.6,3.6,3.4,3.4,3.2,3.4,3.4,3.2,53,33
RSM230H1,Dana Boyko,Winter,2018,3.6,3.7,3.3,3.8,3.7,2.9,3.3,3.4,2.9,54,36
RSM230H1,Dana Boyko,Winter,2018,3.1,3.7,3.7,3.4,3.5,3,3.8,3.6,2.9,51,28
RSM230H1,Dana Boyko,Winter,2018,3,3.6,3.7,3.4,3.5,3.1,3.7,3.1,3,52,23
RSM230H1,Rayomand Daroga,Winter,2018,3.4,3.7,3.7,3.6,3.4,3.2,3.8,3.7,3,52,21
RSM230H1,Dana Boyko,Winter,2018,3.7,4,3.7,4.2,3.9,3.4,3.5,3.4,3.6,55,29
RSM230H1,Dana Boyko,Winter,2018,3.6,3.8,3.6,3.8,3.7,3.3,3.9,3.6,3.3,51,34
RSM230H1,Vikram Iyer,Winter,2018,4,3.9,3.9,4.1,4,3.4,4,3.1,3.4,40,21
RSM230H1,Rayomand Daroga,Winter,2018,4.3,4.3,4.6,4,3.8,3.9,4.3,3.6,3.9,44,33
RSM230H1,Rayomand Daroga,Winter,2018,3.8,3.9,4.2,4.1,4,3.9,4.2,3.3,3.6,44,25
RSM230H1,Vikram Iyer,Winter,2018,4,3.9,3.4,3.4,3,3.5,3.1,3.3,3.5,17,8
RSM250H1,David Soberman,Winter,2018,4.4,4.4,4.5,4.4,4.2,4.5,4.5,3.2,4.5,34,13
RSM250H1,Ron Bar Borkovsky,Winter,2018,4,4.1,4.3,3.6,3.7,4,4.4,2.8,3.9,56,14
RSM250H1,Ron Bar Borkovsky,Winter,2018,3.9,4.1,4.4,3.8,4,4,4.4,2.9,3.9,61,18
RSM250H1,Zemin Zhong,Winter,2018,3.8,4,4.1,3.9,4,3.9,4.2,3,4,55,24
RSM250H1,Zemin Zhong,Winter,2018,3.7,3.7,4.1,3.8,3.8,3.9,4,2.7,3.8,53,18
RSM250H1,Zemin Zhong,Winter,2018,3.9,4.1,4.1,4,4,3.9,4.3,2.9,4.1,63,23
RSM250H1,Douglas Snetsinger,Winter,2018,3.7,3.9,4.1,3.7,4,3.7,4.3,3,3.8,57,26
RSM251H1,Luciano Volpe,Winter,2018,4.5,4.4,4.6,4.1,4.1,4.3,4.6,2.9,4.2,48,40
RSM251H1,Inez Blackburn,Winter,2018,3.8,3.8,3.9,3.7,3.9,3.5,4.2,3,3.8,46,17
RSM260H1,Afif Nassif,Winter,2018,2.9,3.7,4.1,3.8,3.9,3.3,4.3,2.6,3.6,40,11
RSM260H1,Matthew Feinberg,Winter,2018,3.6,3.6,4.4,3.6,3.7,4,4.7,2.6,3.4,56,19
RSM260H1,Matthew Feinberg,Winter,2018,4.6,4.6,4.7,4.3,4.5,4.5,4.8,2.9,4.5,52,19
RSM260H1,Matthew Feinberg,Winter,2018,4.4,4.3,4.8,4.3,4.5,4.6,4.7,2.7,4.5,58,19
RSM270H1,Gonzalo Romero,Winter,2018,4,4.3,4.3,4.3,4.1,4.2,4.3,3.1,4.1,52,33
RSM270H1,Gonzalo Romero,Winter,2018,3.8,4.2,4.2,4.3,4.3,4.1,4.2,3.2,4,48,30
RSM270H1,Gonzalo Romero,Winter,2018,4,4.4,4.5,4.4,4.4,4.1,4.4,3.2,3.8,45,25
RSM270H1,Gonzalo Romero,Winter,2018,4.3,4.4,4.3,4.5,4.4,4.1,4.3,3.3,4,42,20
RSM318H1,Laura Doering,Winter,2018,2.8,3.1,3.2,3.1,3.1,3.1,3.9,3.1,2.8,50,18
RSM320H1,Ralph Tassone,Winter,2018,3.9,4,4.6,4,4.2,3.8,4.3,3.5,3.4,46,27
RSM320H1,Joel Amernic,Winter,2018,3.9,3.7,4.3,3.9,3.9,3.9,4.6,3.7,3.5,55,34
RSM320H1,Joel Amernic,Winter,2018,4.1,4.3,4.6,4.4,4,4.2,4.8,4.1,3.3,57,27
RSM320H1,Ralph Tassone,Winter,2018,3.8,3.5,4.4,3.8,4.1,3.8,4.3,3.6,3.2,17,13
RSM320H1,Ralph Tassone,Winter,2018,4.2,4.1,4.6,4,4,3.8,4.2,3.7,3.1,24,16
RSM321H1,Gordon Richardson,Winter,2018,4.5,4.7,4.6,4.4,4.3,4.4,4.8,3.7,3.7,34,18
RSM323H1,Ping Zhang,Winter,2018,2.8,3.4,3.1,2.9,3.3,2.8,3.3,2.8,2.4,41,12
RSM323H1,Ping Zhang,Winter,2018,2.8,3.3,2.7,3,3.1,2.5,3,3.2,2.5,46,12
RSM323H1,Julie McDonald,Winter,2018,4.1,4.4,4.5,4.1,4.1,4.2,4.4,3,4,49,15
RSM323H1,Ping Zhang,Winter,2018,3.2,4,3.5,3.3,3.7,3.7,3.5,3.5,3.3,43,8
RSM323H1,Ping Zhang,Winter,2018,3.6,3.9,3.8,3.9,4,3.8,3.9,3.3,3,23,9
RSM324H1,Scott Douglas,Winter,2018,4.7,5,5,4.6,4.7,4.9,4.9,3.4,4.5,35,21
RSM325H1,Jaclyn Seidman,Winter,2018,4.5,4.5,4.3,4.1,4.3,4,4.3,2.9,4.2,50,31
RSM328H1,Dushyantkumar Vyas,Winter,2018,3.9,4.2,4,4.2,4.4,3.9,3.9,3.6,4.1,28,14
RSM332H1,Qing Wang,Winter,2018,4.2,4.3,4.5,4.4,4.3,4.3,3.9,3.5,4,38,13
RSM332H1,Qing Wang,Winter,2018,4.4,4.5,4.6,4.6,4.6,4.4,4.6,3.1,4.4,44,19
RSM332H1,Qing Wang,Winter,2018,3.9,3.8,4,3.9,3.8,3.9,4,3.6,3.4,50,11
RSM332H1,Qing Wang,Winter,2018,4,4.4,4.1,4.3,4,3.9,3.9,4.1,3.8,43,8
RSM332H1,Qing Wang,Winter,2018,3.8,4,4.4,4.1,4.2,4.1,4.3,3.1,3.7,44,11
RSM333H1,Craig Geoffrey,Winter,2018,4.1,4.4,4.7,4.4,4.3,4,4.5,3.5,3.9,54,17
RSM333H1,Craig Geoffrey,Winter,2018,4.7,4.6,4.4,4.7,4.7,4.2,4.3,3.1,4.5,53,10
RSM333H1,Craig Geoffrey,Winter,2018,4.2,4.3,4.4,4,4.2,4.1,4.3,3.1,3.7,46,19
RSM333H1,Craig Geoffrey,Winter,2018,4.2,4.4,4.6,3.8,3.8,3.9,4.5,3.7,3.6,53,11
RSM333H1,Craig Geoffrey,Winter,2018,4.5,4.6,4.4,4.5,4.4,4.3,4.4,3.3,4.3,39,13
RSM340H1,Jennifer Riel,Winter,2018,4.8,4.5,4.8,4.5,4.5,4.3,4.5,3.8,4.8,42,5
RSM341H1,Byung Lee,Winter,2018,3.9,3.8,3.8,3.6,4.1,3.9,4.3,3,3.8,33,8
RSM352H1,Inez Blackburn,Winter,2018,4.4,4.6,4.6,4.4,4.4,4.3,4.7,2.8,4.6,46,18
RSM362H1,Syed Ashraf,Winter,2018,4.4,4.8,4.7,4.8,4.8,4.6,4.8,2.9,4.8,28,11
RSM392H1,Kevin Bryan,Winter,2018,4.9,4.8,4.8,4.4,4.3,4.4,4.7,3.4,4.4,26,16
RSM392H1,Kevin Bryan,Winter,2018,4.7,4.6,4.8,4.3,4.4,4.5,4.8,3.4,4.4,32,25
RSM392H1,Kevin Bryan,Winter,2018,5,4.7,4.9,4.6,4.7,4.7,4.8,3.3,4.6,29,19
RSM392H1,Jan Klakurka,Winter,2018,4.8,4.7,4.7,4.7,4.7,4.6,4.9,3,4.4,39,9
RSM393H1,Katherine Magee,Winter,2018,4.4,4.4,4.8,4.5,4.5,4.5,4.8,3.8,4.5,34,17
RSM393H1,Katherine Magee,Winter,2018,4.4,4.2,4.8,4.6,4.8,4.6,5,4,4,20,5
RSM410H1,Steven Balaban,Winter,2018,4.6,4.6,4.8,4.4,4.5,4.6,4.9,3.5,4.6,36,24
RSM422H1,Catherine Barrette,Winter,2018,4.2,4.4,4.9,4.2,4.2,4.4,4.8,3.2,4.2,26,18
RSM423H1,Waldemar Smieliauskas,Winter,2018,3.1,3,3.4,3,2.8,3,3.5,3,2.5,57,27
RSM423H1,Waldemar Smieliauskas,Winter,2018,3.9,3.9,4.1,3.9,4.1,3.8,4.3,3.4,3.5,36,17
RSM424H1,Matthew Roman,Winter,2018,4.2,4.5,4.3,4.3,4.4,4.1,4.1,3.6,3.7,49,24
RSM424H1,Abraham Iqbal,Winter,2018,4.5,4.8,4.9,4.6,4.5,4.5,4.8,3.4,4.4,57,46
RSM424H1,Lorenzo Bonanno,Winter,2018,4.2,4.3,4.6,4.2,4.2,4.1,4.5,3.5,3.7,39,26
RSM424H1,Abraham Iqbal,Winter,2018,4.3,4.6,4.7,4.3,4.4,4.3,4.6,3.4,4.1,56,32
RSM426H1,Elisa Zuliani,Winter,2018,3,3.1,3.4,3.2,3.6,3.3,3.5,3.7,2.6,43,13
RSM426H1,Elisa Zuliani,Winter,2018,4.1,3.8,4.5,3.8,3.9,3.6,4.5,3.5,3.4,56,10
RSM426H1,Gordon Richardson,Winter,2018,3.8,3.8,4.3,3.8,3.9,3.9,4.4,3.6,3.2,51,26
RSM426H1,Gordon Richardson,Winter,2018,4.2,4.1,4.8,4,4,3.9,4.9,3.7,3.9,26,13
RSM427H1,Michael Khan,Winter,2018,4,4.1,4.3,4.1,4,4.1,4.4,3.1,3.7,39,31
RSM427H1,Michael Khan,Winter,2018,4.2,4.4,4.4,4.4,4.4,4.2,4.4,3.3,4,48,27
RSM427H1,Michael Khan,Winter,2018,4,4.4,4.3,4.2,4.3,3.9,4.4,3.2,4.1,30,25
RSM427H1,Michael Khan,Winter,2018,4.3,4.4,4.5,4.3,4.4,4.3,4.5,3.1,3.8,48,21
RSM432H1,Otto Yung,Winter,2018,4.1,4.6,4.3,4.4,4.4,4.1,4.4,3.6,4,54,17
RSM432H1,Otto Yung,Winter,2018,4.1,4.6,4.3,4.5,4.6,4,4.4,3.7,3.9,51,27
RSM432H1,Otto Yung,Winter,2018,4.4,4.4,4.7,4.6,4.6,4.3,4.7,3.8,3.8,49,16
RSM433H1,Claire Celerier,Winter,2018,4.3,4.5,4.8,4.4,4.5,4.5,4.5,3.3,4.5,47,29
RSM433H1,Claire Celerier,Winter,2018,4.3,4.4,4.5,4.3,4.3,4.3,4.6,3.9,4.2,46,27
RSM433H1,Claire Celerier,Winter,2018,4.3,4.4,4,3.9,3.8,4.1,4.3,3.4,3.7,30,23
RSM434H1,Bong Kang,Winter,2018,4.7,4.9,4.5,4.7,4.6,4.8,4.7,3,4.9,54,13
RSM434H1,Craig Geoffrey,Winter,2018,4.4,4.4,4.4,4,4.5,4.1,4.4,2.9,4.3,57,9
RSM434H1,Craig Geoffrey,Winter,2018,4.4,4.4,4.8,4,4.3,4.2,4.7,2.8,4.1,46,12
RSM438H1,Leeat Gellis,Winter,2018,4.3,4.6,4.3,4.4,4.1,4.2,4.7,3.4,4.1,27,16
RSM450H1,Melanie Kim,Winter,2018,4.3,4.5,4.5,4,4.2,4.1,4.5,2.8,4.4,55,23
RSM450H1,Julian House,Winter,2018,4.5,4.5,4.5,4.3,4.3,4.3,4.5,2.8,4.5,56,25
RSM450H1,Meera Paleja,Winter,2018,4.5,4.5,4.5,4.3,4.3,4.3,4.5,2.8,4.5,56,25
RSM455H1,Nitin Mehta,Winter,2018,4.6,4.6,4.8,4.6,4.5,4.6,4.6,3.2,4.3,42,13
RSM455H1,Nitin Mehta,Winter,2018,4.5,4.6,4.6,4.4,4.5,4.5,4.5,3.2,4.1,45,21
RSM456H1,Lisa Anderson,Winter,2018,2.9,2.4,2.7,2.5,2.6,2.4,2.7,3.1,2.4,35,20
RSM458H1,Scott Hawkins,Winter,2018,4.1,4.3,4.7,4.2,4.4,4.3,4.7,3.3,4.4,35,22
RSM458H1,Scott Hawkins,Winter,2018,4.6,4.8,4.8,4.5,4.5,4.7,4.8,3.4,4.4,34,19
RSM461H1,Ryann Manning,Winter,2018,4.8,4.6,4.9,4.4,4.4,4.8,5,2.9,4.9,19,8
RSM461H1,Ryann Manning,Winter,2018,4.7,4.9,4.8,4.6,4.6,4.6,5,2.7,4.9,46,22
RSM462H1,Hadiya Roderique,Winter,2018,3.1,2.8,3.9,3.6,3.8,3.3,3.8,3.4,3.3,44,12
RSM462H1,Hadiya Roderique,Winter,2018,2.3,2.4,2.7,2.7,2.5,2.4,2.5,3.6,2.6,46,11
RSM466H1,Ann Armstrong,Winter,2018,3,3,3.4,3.2,2.6,2.8,3.4,3,3,27,6
RSM480H1,George Georgopoulos,Winter,2018,2.1,2.8,2.2,2.5,2.5,1.9,2.1,2.8,2.2,42,14
RSM480H1,George Georgopoulos,Winter,2018,2.8,2.8,2.7,2.7,2.6,2.5,2.3,2.3,2.3,51,7
RSM484H1,Joseph Shaw,Winter,2018,4.1,4.4,4.1,3.9,3.9,4.1,4.9,3.1,4,46,7
RSM491H1,John-Christian Bourque,Winter,2018,4.5,4.6,4.6,4.4,4.3,4.3,4.6,2.8,4.3,47,13
RSM494H1,Terry Amburgey,Winter,2018,4.3,4.6,4.5,4.6,4.7,4.3,4.3,3.4,4,35,12
RSM495H1,Jan Klakurka,Winter,2018,4.6,4.4,4.3,4.3,4.6,4.4,4.4,4.3,4.4,31,9
RSM496H1,Andras Tilcsik,Winter,2018,4.5,4.6,4.6,4.5,4.6,4.5,4.7,2.7,4.9,59,25
RSM490H1,Terry Amburgey,Fall,2017,2.9,3.4,3.6,3.8,4.2,3.6,3.9,3.3,3.6,49,9
RSM320H1,Joel Amernic,Fall,2017,4.1,4.2,4.5,4.2,4.1,4.1,4.6,4,3.6,41,23
RSM422H1,Joel Amernic,Fall,2017,3.9,4.1,4.6,4.1,4,4,4.7,3.9,3.9,48,30
RSM362H1,Syed Ashraf,Fall,2017,4.5,4.7,4.7,4.4,4.5,4.6,4.8,3.1,4.7,32,22
RSM429H1,Matthew Bamber,Fall,2017,4.6,4.7,4.7,4.8,4.6,4.5,4.8,3.8,4.5,54,34
RSM429H1,Matthew Bamber,Fall,2017,4.5,4.5,4.7,4.6,4.5,4.6,4.9,3.7,4.4,51,29
RSM222H1,Matthew Bamber,Fall,2017,4,4.3,4.6,3.9,4,4.2,4.8,3.2,3.8,44,32
RSM222H1,Matthew Bamber,Fall,2017,4.2,4.6,4.9,4.3,4.4,4.7,4.9,3,4.4,43,31
RSM222H1,Catherine Barrette,Fall,2017,4,4.4,4.8,4.2,3.9,4,4.7,3.2,4,53,27
RSM222H1,Catherine Barrette,Fall,2017,3.9,4.4,4.7,4.3,4.2,4.2,4.7,3.3,4,56,30
RSM222H1,Catherine Barrette,Fall,2017,3.7,4.1,4.5,3.8,3.8,3.8,4.5,3.1,3.6,51,25
RSM222H1,Catherine Barrette,Fall,2017,3.8,4.2,4.6,4.1,4.1,4.1,4.6,3.3,3.9,48,32
RSM470H1,Oded Berman,Fall,2017,4.1,4.2,4.2,4.3,4.4,4.1,4.2,3.2,4,39,15
RSM470H1,Oded Berman,Fall,2017,3.7,3.8,3.9,3.8,3.7,3.7,3.8,3.2,3.6,41,14
RSM352H1,Inez Blackburn,Fall,2017,4.3,4.4,4.8,4.5,4.7,4.5,4.8,3.3,4.6,31,12
RSM330H1,Dana Boyko,Fall,2017,4.4,4.5,4.6,4.3,4.4,4.2,4.6,3.3,4.4,48,28
RSM330H1,Dana Boyko,Fall,2017,3.6,3.7,4.1,3.7,3.6,3.6,4.2,3.5,3.6,53,26
RSM330H1,Dana Boyko,Fall,2017,4.1,4.4,4.5,4.3,4.3,4.1,4.6,3.4,4.1,46,34
RSM480H1,Donald Brean,Fall,2017,4.1,3.8,3.5,3.8,4,3.8,4.1,3.7,3.5,26,15
RSM230H1,Donald Brean,Fall,2017,4.3,4.5,3.4,4.3,4.2,4.2,3.4,3.8,4,53,27
RSM230H1,Donald Brean,Fall,2017,4.2,4.4,3.3,4.2,4.3,4.2,3.1,3.3,4.1,54,27
