dept,course,instructor,abbrev_instructor
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT314H1,Gary Coupland,"Coupland, G."
ANT,ANT327H1,Bonnie McElhinny,"McElhinny, B."
ANT,ANT333Y1,Shawn Lehman,"Lehman, S."
ANT,ANT336H1,T. Viola,"Viola, T."
ANT,ANT341H1,Wen-Ching Sung,"Sung, W."
ANT,ANT345H1,Kristin Bright,"Bright, K."
ANT,ANT356H1,Gillian Gillison,"Gillison, G."
ANT,ANT371H1,Julia Gamble,"Gamble, J."
ANT,ANT380H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT390H1,Atreyee Majumder,"Majumder, A."
ANT,ANT411H1,Edward Swenson,"Swenson, E."
ANT,ANT415Y1,T Friesen,"Friesen, T."
ANT,ANT420H1,Gary Coupland,"Coupland, G."
ANT,ANT427H1,Diane Riskedahl,"Riskedahl, D."
ANT,ANT434H1,Julia Gamble,"Gamble, J."
ANT,ANT435H1,Julia Gamble,"Gamble, J."
ANT,ANT438H1,Iulia Badescu,"Badescu, I."
ANT,ANT445H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT462H1,Prakruti Dave,"Dave, P."
ANT,ANT474H1,Holly Wardlow,"Wardlow, H."
ANT,ANT475H1,Janice Boddy,"Boddy, J."
ANT,ANT480Y1,Anna Patton,"Patton, A."
ANT,ANT485H1,Mathew Gagne,"Gagne, M."
ARH,ARH312Y1,Anna Patton,"Patton, A."
ARH,ARH360H1,Michael Chazan,"Chazan, M."
ANT,ANT100Y1,Victor Barac,"Barac, V."
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT324H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT349H1,Laura Visan,"Visan, L."
ARH,ARH306Y1,Paul Duffy,"Duffy, P."
ARH,ARH306Y1,Sarah Stewart,"Stewart, S."
ANT,ANT207H1,Dylan Clark,"Clark, D."
ANT,ANT100Y1,Dylan Clark,"Clark, D."
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT204H1,Dylan Clark,"Clark, D."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT324H1,Shiho Satsuka,"Satsuka, S."
ANT,ANT204H1,Dylan Clark,"Clark, D."
ANT,ANT346H1,Dylan Clark,"Clark, D."
ARH,ARH306Y1,Paul Duffy,"Duffy, P."
ARH,ARH306Y1,Sarah Stewart,"Stewart, S."
ANT,ANT437H1,T. Viola,"Viola, T."
ANT,ANT343H1,Kevin Nixon,"Nixon, K."
ANT,ANT396Y0,Anne Urbancic,"Urbancic, A."
JAH,JAH391Y0,Ivan Kalmar,"Kalmar, I."
ANT,ANT207H1,Jessica Taylor,"Taylor, J."
ANT,ANT204H1,Diane Riskedahl,"Riskedahl, D."
ANT,ANT366H1,Daniella Jofre,"Jofre, D."
ANT,ANT348H1,Krista Maxwell,"Maxwell, K."
ANT,ANT346H1,Aaron Kappeler,"Kappeler, A."
ARH,ARH306Y1,Edward Banning,"Banning, E."
ARH,ARH306Y1,Sarah Stewart,"Stewart, S."
ANT,ANT207H1,James Stinson,"Stinson, J."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT100Y1,James Stinson,"Stinson, J."
ANT,ANT200Y1,Emma Humphrey,"Humphrey, E."
